Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total)
Deposit,2022-04-06 06:30:21,,,,"Bank Transfer",f8d2593f-6af9-4687-b818-04ee819925b5,,,,,,,1000.00,"USD"
Market buy,2022-04-06 14:36:21,US02115D2080,AEI,"Alset",,EOF1863658488,1600.0000000000,0.6485000000,USD,1.00000000,,"USD",1037.60,"USD"
Limit sell,2022-04-07 18:26:30,US1509641049,CENN,"Cenntro",,EOF1865803052,546.0000000000,1.9400000000,USD,1.00000000,-4320.68,"USD",1059.24,"USD"
Market sell,2022-04-08 19:27:09,US02115D2080,AEI,"Alset",,EOF1866821746,1600.0000000000,0.7261000000,USD,1.00000000,124.16,"USD",1161.76,"USD"
Limit buy,2022-04-18 13:38:59,US02115D2080,AEI,"Alset",,EOF1876271275,300.0000000000,0.5500000000,USD,1.00000000,,"USD",165.00,"USD"
Limit buy,2022-04-18 13:38:59,US02115D2080,AEI,"Alset",,EOF1876271278,2900.0000000000,0.5500000000,USD,1.00000000,,"USD",1595.00,"USD"
Limit buy,2022-04-18 13:38:59,US02115D2080,AEI,"Alset",,EOF1876271276,80.0000000000,0.5500000000,USD,1.00000000,,"USD",44.00,"USD"
Limit buy,2022-04-18 13:38:59,US02115D2080,AEI,"Alset",,EOF1876271277,800.0000000000,0.5500000000,USD,1.00000000,,"USD",440.00,"USD"
